state,avg_max_aqi,avg_x90th_percentile_aqi,avg_median_aqi,avg_days_with_aqi,avg_good_days,avg_moderate_days,avg_unhealthy_for_sensitive_groups_days,avg_unhealthy_days,avg_very_unhealthy_days,avg_hazardous_days,avg_days_co,avg_days_no2,avg_days_ozone,avg_days_pm2_5,avg_days_pm10,year
Oklahoma,109.125,65.33333333333333,43.416666666666664,321.9166666666667,206.79166666666666,113.16666666666667,1.9166666666666667,0.041666666666666664,0,0,0,1.75,195.79166666666666,113.25,11.125,12
Oregon,109.41666666666667,58.208333333333336,31.416666666666668,357.75,273.9583333333333,82.75,0.9166666666666666,0.125,0,0,0,0.125,46.291666666666664,311.25,0.08333333333333333,12
Pennsylvania,150.58333333333334,80.86111111111111,48.69444444444444,334.8333333333333,172.05555555555554,149.11111111111111,12.38888888888889,1.2777777777777777,0,0,1.0555555555555556,8.416666666666666,147.72222222222223,161.05555555555554,16.583333333333332,12
Puerto Rico,75.625,36.625,19.125,277.875,264.125,13.75,0,0,0,0,72.25,0,67.25,18.125,120.25,12
Rhode Island,143.33333333333334,70,41.333333333333336,310,223.33333333333334,79.66666666666667,6.333333333333333,0.6666666666666666,0,0,0,3.3333333333333335,164,142.33333333333334,0.3333333333333333,12
South Carolina,111.1,65.1,43.15,325.5,221.2,101.25,3.05,0,0,0,0,0.5,222.85,83.15,19,12
South Dakota,107.11111111111111,58.44444444444444,38.22222222222222,337.44444444444446,266.6666666666667,70.22222222222223,0.4444444444444444,0.1111111111111111,0,0,0,0.3333333333333333,166.88888888888889,121.66666666666667,48.55555555555556,12
Tennessee,114.83333333333333,72.625,42.833333333333336,275.0416666666667,175.33333333333334,91,8.625,0.08333333333333333,0,0,0.3333333333333333,28.041666666666668,171.625,48.25,26.791666666666668,12
Texas,120.11111111111111,64.57777777777778,42.91111111111111,339.06666666666666,223.06666666666666,109.71111111111111,5.5777777777777775,0.7111111111111111,0,0,0.08888888888888889,2.4,167.4,168.73333333333332,0.4444444444444444,12
Utah,169.76923076923077,73.23076923076923,44,307.53846153846155,168.07692307692307,126.46153846153847,9,2.8461538461538463,1.0769230769230769,0.07692307692307693,0,15.846153846153847,171.6153846153846,117.61538461538461,2.4615384615384617,12
Vermont,124,64.33333333333333,39,364.6666666666667,258.3333333333333,104.66666666666667,1.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,19.333333333333332,137,208,0,12
Virgin Islands,96,64.5,40,89,59,29.5,0.5,0,0,0,0,0,0,67.5,21.5,12
Virginia,114.02564102564102,63.1025641025641,38.82051282051282,238,157.48717948717947,75.46153846153847,4.410256410256411,0.6410256410256411,0,0,2.7948717948717947,34.30769230769231,125,65.41025641025641,10.487179487179487,12
Washington,88.76666666666667,54.166666666666664,29.766666666666666,353.73333333333335,289.7,63.43333333333333,0.43333333333333335,0.1,0.06666666666666667,0,0,0.3333333333333333,34.2,317.3,1.9,12
West Virginia,122.33333333333333,71.66666666666667,46.666666666666664,265.93333333333334,157,104.8,4,0.13333333333333333,0,0,1.2666666666666666,0,134.06666666666666,101.93333333333334,28.666666666666668,12
Wisconsin,115.60606060606061,61.27272727272727,39.696969696969695,236.96969696969697,181.66666666666666,52.24242424242424,2.696969696969697,0.36363636363636365,0,0,0,1.0909090909090908,176.15151515151516,59.39393939393939,0.3333333333333333,12
