state,avg_max_aqi,avg_x90th_percentile_aqi,avg_median_aqi,year,avg_max_aqi_2020,avg_x90th_percentile_aqi_2020,avg_median_aqi_2020
Nevada,132.625,66.125,38.5,2003,NA,NA,NA
New Hampshire,137,68.66666666666667,40.22222222222222,2003,NA,NA,NA
New Jersey,184.1764705882353,81.6470588235294,41.294117647058826,2003,NA,NA,NA
New Mexico,162.11764705882354,57.294117647058826,32.470588235294116,2003,NA,NA,NA
New York,167.86111111111111,67.91666666666667,37.94444444444444,2003,NA,NA,NA
North Carolina,148.7962962962963,81.81481481481481,48.907407407407405,2003,NA,NA,NA
North Dakota,90.88888888888889,45.77777777777778,29,2003,NA,NA,NA
Ohio,174.29545454545453,82.25,46.47727272727273,2003,NA,NA,NA
Oklahoma,124.11538461538461,73.73076923076923,44.65384615384615,2003,NA,NA,NA
Oregon,107.3529411764706,58.411764705882355,29.11764705882353,2003,NA,NA,NA
Pennsylvania,190.4,81.8,46.4,2003,NA,NA,NA
Puerto Rico,74.125,49.3125,28.1875,2003,NA,NA,NA
Rhode Island,201.66666666666666,82,45.666666666666664,2003,NA,NA,NA
South Carolina,126.88888888888889,74.55555555555556,43.074074074074076,2003,NA,NA,NA
South Dakota,88,60.5,35,2003,NA,NA,NA
Tennessee,144.36666666666667,81.8,46.733333333333334,2003,NA,NA,NA
Texas,177.02564102564102,82.12820512820512,43.41025641025641,2003,NA,NA,NA
Utah,115.71428571428571,61.357142857142854,32.142857142857146,2003,NA,NA,NA
Vermont,94.2,57.2,32.2,2003,NA,NA,NA
Virgin Islands,94.33333333333333,59.666666666666664,29.666666666666668,2003,NA,NA,NA
Virginia,146.175,65.8,38.375,2003,NA,NA,NA
Washington,184.63333333333333,63.7,36.766666666666666,2003,NA,NA,NA
West Virginia,150.55555555555554,74.16666666666667,46.611111111111114,2003,NA,NA,NA
Wisconsin,140.6,78.65714285714286,41.68571428571428,2003,NA,NA,NA
Wyoming,102.33333333333333,54.733333333333334,27.333333333333332,2003,NA,NA,NA
Alabama,121.28,71.32,45.16,2004,NA,NA,NA
Alaska,199,45,18.1,2004,NA,NA,NA
Arizona,129.07692307692307,72,42.92307692307692,2004,NA,NA,NA
Arkansas,102,67.70588235294117,49.35294117647059,2004,NA,NA,NA
California,273.47169811320754,94.56603773584905,51.490566037735846,2004,NA,NA,NA
Canada,95.66666666666667,45.333333333333336,26.333333333333332,2004,NA,NA,NA
Colorado,86.5,51,30.464285714285715,2004,NA,NA,NA
Connecticut,182.125,77.25,43.125,2004,NA,NA,NA
Country Of Mexico,226,109.66666666666667,67.33333333333333,2004,NA,NA,NA
Delaware,157.66666666666666,91.33333333333333,53.333333333333336,2004,NA,NA,NA
District Of Columbia,190,87,61,2004,NA,NA,NA
Florida,137.38888888888889,66.55555555555556,42.30555555555556,2004,NA,NA,NA
Georgia,136.54545454545453,79.06060606060606,52.303030303030305,2004,NA,NA,NA
Hawaii,83,34.25,16.5,2004,NA,NA,NA
Idaho,101.58333333333333,57.75,35.208333333333336,2004,NA,NA,NA
Illinois,113.28,62.12,37.12,2004,NA,NA,NA
Indiana,121.34210526315789,75.02631578947368,46,2004,NA,NA,NA
Iowa,102.19047619047619,58.38095238095238,36.857142857142854,2004,NA,NA,NA
Kansas,88.25,52.1875,33.375,2004,NA,NA,NA
Kentucky,112.77777777777777,65.88888888888889,42.388888888888886,2004,NA,NA,NA
Louisiana,138.2962962962963,70.5925925925926,43.55555555555556,2004,NA,NA,NA
Maine,123.53846153846153,51.61538461538461,31.846153846153847,2004,NA,NA,NA
Maryland,171.07142857142858,90.85714285714286,47.642857142857146,2004,NA,NA,NA
Massachusetts,159.25,73.5,44.25,2004,NA,NA,NA
