Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2014,Malignant neoplasms (C00-C97),Cancer,Kansas,5587,166.8
2014,Malignant neoplasms (C00-C97),Cancer,Kentucky,10263,198.8
2014,Malignant neoplasms (C00-C97),Cancer,Louisiana,9455,186.1
2014,Malignant neoplasms (C00-C97),Cancer,Maine,3209,170.3
2014,Malignant neoplasms (C00-C97),Cancer,Maryland,10759,161.7
2014,Malignant neoplasms (C00-C97),Cancer,Massachusetts,12787,155.5
2014,Malignant neoplasms (C00-C97),Cancer,Michigan,21169,174.1
2014,Malignant neoplasms (C00-C97),Cancer,Minnesota,9649,152.6
2014,Malignant neoplasms (C00-C97),Cancer,Mississippi,6534,193.1
2014,Malignant neoplasms (C00-C97),Cancer,Missouri,13067,177.7
2014,Malignant neoplasms (C00-C97),Cancer,Montana,2066,156.3
2014,Malignant neoplasms (C00-C97),Cancer,Nebraska,3459,159.6
2014,Malignant neoplasms (C00-C97),Cancer,Nevada,5015,164.5
2014,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2698,160.4
2014,Malignant neoplasms (C00-C97),Cancer,New Jersey,16591,156.1
2014,Malignant neoplasms (C00-C97),Cancer,New Mexico,3478,142.4
2014,Malignant neoplasms (C00-C97),Cancer,New York,35392,151.8
2014,Malignant neoplasms (C00-C97),Cancer,North Carolina,19342,169.3
2014,Malignant neoplasms (C00-C97),Cancer,North Dakota,1304,152.3
2014,Malignant neoplasms (C00-C97),Cancer,Ohio,25433,177.8
2014,Malignant neoplasms (C00-C97),Cancer,Oklahoma,7934,179.9
2014,Malignant neoplasms (C00-C97),Cancer,Oregon,7863,160.2
2014,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28692,169.6
2014,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2242,167
2014,Malignant neoplasms (C00-C97),Cancer,South Carolina,9930,171.4
2014,Malignant neoplasms (C00-C97),Cancer,South Dakota,1698,163.4
2014,Malignant neoplasms (C00-C97),Cancer,Tennessee,14173,184.2
2014,Malignant neoplasms (C00-C97),Cancer,Texas,38847,152.9
2014,Malignant neoplasms (C00-C97),Cancer,United States,591700,161.2
2014,Malignant neoplasms (C00-C97),Cancer,Utah,3043,127.4
2014,Malignant neoplasms (C00-C97),Cancer,Vermont,1379,167.9
2014,Malignant neoplasms (C00-C97),Cancer,Virginia,14749,161.5
2014,Malignant neoplasms (C00-C97),Cancer,Washington,12205,155.5
2014,Malignant neoplasms (C00-C97),Cancer,West Virginia,4880,195.1
2014,Malignant neoplasms (C00-C97),Cancer,Wisconsin,11393,161.8
2014,Malignant neoplasms (C00-C97),Cancer,Wyoming,922,140.7
2013,Malignant neoplasms (C00-C97),Cancer,Alabama,10328,182.2
2013,Malignant neoplasms (C00-C97),Cancer,Alaska,1016,172
2013,Malignant neoplasms (C00-C97),Cancer,Arizona,11347,147
2013,Malignant neoplasms (C00-C97),Cancer,Arkansas,6688,190
2013,Malignant neoplasms (C00-C97),Cancer,California,57714,147
2013,Malignant neoplasms (C00-C97),Cancer,Colorado,7357,139.2
2013,Malignant neoplasms (C00-C97),Cancer,Connecticut,6619,148.4
2013,Malignant neoplasms (C00-C97),Cancer,Delaware,1905,167.6
2013,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1095,178.2
2013,Malignant neoplasms (C00-C97),Cancer,Florida,42735,155.9
2013,Malignant neoplasms (C00-C97),Cancer,Georgia,16417,167.7
2013,Malignant neoplasms (C00-C97),Cancer,Hawaii,2332,135.5
2013,Malignant neoplasms (C00-C97),Cancer,Idaho,2707,156.2
2013,Malignant neoplasms (C00-C97),Cancer,Illinois,24491,171.9
2013,Malignant neoplasms (C00-C97),Cancer,Indiana,13258,179.5
2013,Malignant neoplasms (C00-C97),Cancer,Iowa,6509,168.4
